label,precision,recall,f1-score,support
drama,0.37130801687763715,0.44,0.40274599542334094,200.0
comedy,0.5364238410596026,0.405,0.46153846153846156,200.0
horror,0.4982698961937716,0.72,0.588957055214724,200.0
action,0.4057971014492754,0.42,0.41277641277641275,200.0
thriller,0.39416058394160586,0.27,0.32047477744807124,200.0
romance,0.5707317073170731,0.585,0.5777777777777777,200.0
western,0.9141414141414141,0.905,0.9095477386934674,200.0
crime,0.4878048780487805,0.5,0.49382716049382713,200.0
adventure,0.6010362694300518,0.58,0.5903307888040712,200.0
science_fiction,0.6573033707865169,0.585,0.6190476190476191,200.0
accuracy,,,0.541,
macro avg,0.5436977079245728,0.5409999999999999,0.5377023787217773,2000.0
weighted avg,0.543697707924573,0.541,0.5377023787217773,2000.0
