label,precision,recall,f1-score,support
drama,0.4522058823529412,0.615,0.5211864406779662,200.0
comedy,0.5229357798165137,0.57,0.5454545454545454,200.0
horror,0.6008403361344538,0.715,0.6529680365296804,200.0
action,0.4636363636363636,0.51,0.4857142857142857,200.0
thriller,0.42857142857142855,0.285,0.34234234234234234,200.0
romance,0.75,0.48,0.5853658536585366,200.0
western,0.8960396039603961,0.905,0.900497512437811,200.0
crime,0.6111111111111112,0.495,0.5469613259668509,200.0
adventure,0.5701357466063348,0.63,0.5985748218527316,200.0
science_fiction,0.6601941747572816,0.68,0.6699507389162561,200.0
accuracy,,,0.5885,
macro avg,0.5955670426946824,0.5885,0.5849015903551007,2000.0
weighted avg,0.5955670426946824,0.5885,0.5849015903551006,2000.0
