dataset,model,epoch,train_loss,val_macro_f1
imdb,textcnn,1,2.440378,0.326231
imdb,textcnn,2,1.85711,0.391861
imdb,textcnn,3,1.570805,0.474686
imdb,textcnn,4,1.365572,0.455246
imdb,textcnn,5,1.214049,0.479306
imdb,textcnn,6,1.128644,0.464794
imdb,textcnn,7,1.040247,0.46302
imdb,textcnn,8,0.957798,0.475006
imdb,textcnn,9,0.918558,0.494011
imdb,textcnn,10,0.877728,0.471693
imdb,textcnn,11,0.855904,0.486297
imdb,textcnn,12,0.827641,0.491254
imdb,textcnn,13,0.801206,0.495166
imdb,textcnn,14,0.79313,0.48048
imdb,textcnn,15,0.775723,0.492692
imdb,textcnn,16,0.777378,0.489792
imdb,textcnn,17,0.7567,0.493936
imdb,textcnn,18,0.740274,0.504705
imdb,textcnn,19,0.728996,0.486199
imdb,textcnn,20,0.715733,0.488714
imdb,tfidf_mlp,1,1.92623,0.49618
imdb,tfidf_mlp,2,1.191766,0.566205
imdb,tfidf_mlp,3,0.783489,0.558959
imdb,tfidf_mlp,4,0.61239,0.545368
imdb,tfidf_mlp,5,0.563555,0.531644
imdb,tfidf_mlp,6,0.546423,0.528887
imdb,tfidf_mlp,7,0.537407,0.522298
wiki,textcnn,1,2.532625,0.364091
wiki,textcnn,2,1.93761,0.391827
wiki,textcnn,3,1.684998,0.42837
wiki,textcnn,4,1.512225,0.461612
wiki,textcnn,5,1.38075,0.506794
wiki,textcnn,6,1.291603,0.488575
wiki,textcnn,7,1.226415,0.501539
wiki,textcnn,8,1.140077,0.547238
wiki,textcnn,9,1.089308,0.55907
wiki,textcnn,10,1.067281,0.534712
wiki,textcnn,11,1.024662,0.557377
wiki,textcnn,12,1.00242,0.534425
wiki,textcnn,13,0.96827,0.524806
wiki,textcnn,14,0.948766,0.550536
wiki,tfidf_mlp,1,1.865197,0.539871
wiki,tfidf_mlp,2,1.188533,0.578489
wiki,tfidf_mlp,3,0.804683,0.563579
wiki,tfidf_mlp,4,0.626043,0.568496
wiki,tfidf_mlp,5,0.569835,0.556158
wiki,tfidf_mlp,6,0.552666,0.547599
wiki,tfidf_mlp,7,0.543798,0.544759
