label,precision,recall,f1-score,support
drama,0.28688524590163933,0.525,0.3710247349823322,200.0
comedy,0.5338983050847458,0.315,0.39622641509433965,200.0
horror,0.7427184466019418,0.765,0.7536945812807881,200.0
action,0.47058823529411764,0.52,0.49406175771971494,200.0
thriller,0.3891891891891892,0.36,0.37402597402597404,200.0
romance,0.6153846153846154,0.36,0.45425867507886436,200.0
western,0.8071065989847716,0.8932584269662921,0.848,178.0
crime,0.5986394557823129,0.44,0.5072046109510087,200.0
adventure,0.5947712418300654,0.56875,0.5814696485623003,160.0
science_fiction,0.6635071090047393,0.7650273224043715,0.7106598984771574,183.0
accuracy,,,0.5450286309213951,
macro avg,0.5702688443058138,0.5512035749370663,0.5490626296172479,1921.0
weighted avg,0.5662211727785942,0.5450286309213951,0.5435342295772473,1921.0
