label,precision,recall,f1-score,support
drama,0.3958333333333333,0.38,0.3877551020408163,200.0
comedy,0.49079754601226994,0.4,0.44077134986225897,200.0
horror,0.78125,0.75,0.7653061224489796,200.0
action,0.54,0.54,0.54,200.0
thriller,0.45365853658536587,0.465,0.45925925925925926,200.0
romance,0.5211864406779662,0.615,0.5642201834862385,200.0
western,0.8421052631578947,0.898876404494382,0.8695652173913043,178.0
crime,0.6047904191616766,0.505,0.5504087193460491,200.0
adventure,0.5202020202020202,0.64375,0.5754189944134078,160.0
science_fiction,0.7528089887640449,0.73224043715847,0.7423822714681441,183.0
accuracy,,,0.5871941697032795,
macro avg,0.5902632547894572,0.5929866841652852,0.5895087219716457,1921.0
weighted avg,0.5873994587050344,0.5871941697032795,0.5852419316861989,1921.0
