label,precision,recall,f1-score,support
drama,0.4326923076923077,0.45,0.4411764705882353,200.0
comedy,0.5730337078651685,0.51,0.5396825396825397,200.0
horror,0.6042553191489362,0.71,0.6528735632183909,200.0
action,0.5317919075144508,0.46,0.4932975871313673,200.0
thriller,0.4339622641509434,0.345,0.38440111420612816,200.0
romance,0.5769230769230769,0.675,0.6221198156682027,200.0
western,0.8862559241706162,0.935,0.9099756690997567,200.0
crime,0.5567010309278351,0.54,0.5482233502538071,200.0
adventure,0.6387434554973822,0.61,0.6240409207161125,200.0
science_fiction,0.6359447004608295,0.69,0.6618705035971223,200.0
accuracy,,,0.5925,
macro avg,0.5870303694351546,0.5925,0.5877661534161663,2000.0
weighted avg,0.5870303694351546,0.5925,0.5877661534161661,2000.0
