label,precision,recall,f1-score,support
drama,0.44907407407407407,0.485,0.46634615384615385,200.0
comedy,0.6343283582089553,0.425,0.5089820359281437,200.0
horror,0.5930232558139535,0.765,0.6681222707423581,200.0
action,0.5548780487804879,0.455,0.5,200.0
thriller,0.4311377245508982,0.36,0.3923705722070845,200.0
romance,0.5186567164179104,0.695,0.594017094017094,200.0
western,0.8189655172413793,0.95,0.8796296296296297,200.0
crime,0.5714285714285714,0.56,0.5656565656565656,200.0
adventure,0.7375886524822695,0.52,0.6099706744868035,200.0
science_fiction,0.6428571428571429,0.72,0.6792452830188679,200.0
accuracy,,,0.5935,
macro avg,0.5951938061855643,0.5934999999999999,0.5864340279532702,2000.0
weighted avg,0.5951938061855643,0.5935,0.58643402795327,2000.0
