label,precision,recall,f1-score,support
drama,0.3879781420765027,0.355,0.370757180156658,200.0
comedy,0.4971751412429379,0.44,0.46684350132625996,200.0
horror,0.7018348623853211,0.765,0.7320574162679426,200.0
action,0.515,0.515,0.515,200.0
thriller,0.47651006711409394,0.355,0.4068767908309456,200.0
romance,0.48523206751054854,0.575,0.5263157894736842,200.0
western,0.8497409326424871,0.9213483146067416,0.8840970350404312,178.0
crime,0.5475113122171946,0.605,0.5748218527315915,200.0
adventure,0.5949367088607594,0.5875,0.5911949685534591,160.0
science_fiction,0.7621621621621621,0.7704918032786885,0.7663043478260869,183.0
accuracy,,,0.5835502342529932,
macro avg,0.5818081396212007,0.5889340117885431,0.583426888220706,1921.0
weighted avg,0.5768702517506922,0.5835502342529932,0.578203367524904,1921.0
