label,precision,recall,f1-score,support
drama,0.5227272727272727,0.23,0.3194444444444444,200.0
comedy,0.5365853658536586,0.44,0.4835164835164835,200.0
horror,0.5411392405063291,0.855,0.6627906976744186,200.0
action,0.5572916666666666,0.535,0.5459183673469388,200.0
thriller,0.436241610738255,0.325,0.37249283667621774,200.0
romance,0.48148148148148145,0.65,0.5531914893617021,200.0
western,0.8967391304347826,0.9269662921348315,0.9116022099447514,178.0
crime,0.5481171548117155,0.655,0.5968109339407744,200.0
adventure,0.7,0.39375,0.504,160.0
science_fiction,0.611353711790393,0.7650273224043715,0.6796116504854369,183.0
accuracy,,,0.5757418011452369,
macro avg,0.5831676635010555,0.5775743614539203,0.5629379113391167,1921.0
weighted avg,0.5768943534784534,0.5757418011452369,0.5591396022910966,1921.0
